task_id	name	status	priority	issue_type	app_section	owner	parent	notes	created_at	completed_at
1213387118254145	Save as Layer animation	Completed				Unassigned	I need a library of "layer" animation I can copy over into current animation		2026-02-22 20:43:49	2026-04-22 18:44:33
1213409298716108	add tooltips to keyframes	Completed				Unassigned			2026-02-23 17:45:02	2026-02-23 19:29:33
1213949550375702	create an option for inporting a folder of SVGS into a circle as instances (for other symbols in circl)	Completed				Alexa			2026-04-07 10:03:48	2026-04-22 13:27:00
1214168752190343	create an option for uploading a PNG as individual or group	Completed				Alexa			2026-04-21 11:24:16	2026-04-22 13:26:59
1213152762510379	d	Completed				Unassigned	change the way groups work. I don't need to select to layers to group		2026-02-06 17:43:18	2026-04-22 18:43:18
1213783121489118	in main app make sure all shapes use different code players	Completed				Unassigned	extract aminos and horoscope from player code ---->		2026-03-24 22:28:09	2026-04-22 18:44:19
1213783121489117	in main app,  make siure it's clean	Completed				Unassigned	extract aminos and horoscope from player code ---->		2026-03-24 22:27:59	2026-04-22 18:43:26
1213422326879705	make all export transparent	Completed				Unassigned			2026-02-24 12:29:03	2026-04-22 18:43:28
1213152751327500	s	Completed				Unassigned	Add mouse controller for realtime animation		2026-02-06 15:15:45	2026-04-22 18:44:31
1213070073876394	see notes	Completed				Unassigned	Rezible 0,0 Canvas		2026-02-02 11:18:47	2026-04-22 18:44:34
1213589928739647	the effects added to much weight to the player code on export, give me an option to toggle oon/off effects when exporting player code, and default it to off	Completed				Alexa			2026-03-10 10:49:49	2026-04-22 18:45:05
1213422326879699	there is a bug in molecules (size) and need to be filled out with remainign aminos	Completed				Unassigned			2026-02-24 12:11:34	2026-04-22 18:45:12
1213070073876313	Re-implement keyframe property copy/paste	Cancelled	High	UX/UI	General	Unassigned		Task: Re-implement copy/paste keyframe properties on top of layer panel.\n\nStatus: Completed (crossed out in original list)\n\nExpected Behavior: Users should be able to copy keyframe properties and paste them to other keyframes using controls in the layer panel header area.	2026-02-01 15:47:04	
1213387118254097	Copy Paste layers is not obvious	Cancelled	Medium	UX/UI	Timeline	Unassigned			2026-02-22 17:33:35	
1213070073876360	Fix keyframe creation before first frame	Cancelled	Medium	Bug	Timeline	Unassigned		Bug: I can't create key frames in front of the first keyframe.\n\nExpected Behavior: Users should be able to create keyframes at any position on the timeline, including before the current first keyframe.	2026-02-01 15:50:23	2026-02-23 19:21:11
1213070073876358	Fix keyframe creation outside layer bar	Cancelled	Medium	Bug	Timeline	Unassigned		Bug: I can create key frames outside the layer bar.\n\nExpected Behavior: Keyframe creation should be constrained to valid timeline positions within the layer bar boundaries.	2026-02-01 15:50:23	2026-02-23 19:21:08
1213070073876282	Fix layer bar keyframe attachment	Cancelled	Medium	Bug	Timeline	Unassigned		Issue: Layer bar is now detached from the second keyframe; it should not be resizable on its own, but automatically size from first keyframe to last keyframe in the bar.\n\nExpected Behavior: Layer bar should automatically span from first to last keyframe without independent resizing capability.	2026-02-01 15:46:19	2026-02-23 19:21:08
1213387118254133	need edit button on preview window in folder view	Cancelled	Low	UX/UI	General	Unassigned			2026-02-22 19:50:56	
local-1777824000000-1010	Asset copy on project share / transfer	Future Upgrades	Medium	Feature Request	General	Unassigned		Project rows reference asset IDs owned by the original user. Storage RLS enforces first path segment = auth.uid(), so the receiving user can't read the original blobs. When a project moves between users (share, duplicate-across-accounts, admin reassign), each referenced asset needs to be copied into the target user's space: new asset_folders / assets rows, new storage object at {new_user_id}/{new_asset_id}.{ext}, and every assetFolderId / assetId in the project's layers rewritten to point at the new ids. Consider an edge function that takes a project id + target user id and does the full clone in one shot.	2026-04-25 21:30:00	
1213387118254094	Need to be able to expand background, make animation not square	Future Upgrades	Medium	Feature Request	General	Unassigned		Show "App" background and animation border in viewer screen to see where animation goes\n\nMake canvas resizable, allow to set size and format (crops in out)	2026-02-22 17:33:29	
d4fce254-dc3f-4d35-b25c-021f6feb03b7	setup URL for app so we can start sharing links to it	Future Upgrades	Medium	Technical Debt	General	Unassigned		Replace geometry-sequencer-v2.vercel.app with a real custom domain so shareable links look professional. Manual DNS work — buy / point a domain, add it in the Vercel project settings, update the Supabase Auth redirect allowlist (and ideally Site URL once v1 is retired). No code change needed in this repo.	2026-04-25 21:50:53	
1213409303569226	Add Dot animation on a line	Future Upgrades	Medium	Feature Request		Unassigned		Expand on the  DOTS functionality\n\nFrom what it is now to it's own area\n\nDots\n\n Pulldown with these three options\n\nAdd dots to the vertices\n\nvariables:\n    size of dot ( #amount )\n    Dot offset from point  ( #amount )\n    Filled  or outline  (toggle)\n\nDots moving along a path (on top of path)\nVariables:\n    number of dots ( #amount )\n    size of dot ( #amount )\n    Speed of movement ( #amount )\n\nDotted Line (moves from line stroke properties) ( I believe this is a pixijs shader function)\n    Dash size   ( #amount )\n    Gap Size   ( #amount )\n    Speed of movement ( #amount ). - (marching ants effect)	2026-02-23 18:42:37	
1213070073876389	Create tiny little movies in thumbnail view	Future Upgrades	Medium	Ideas		Unassigned	video thumbnails	Project folders with names are great, but once you have a lot of animations, it's hard to set them apart\n\n\nproject folder view needs a thumbnail view, which takes up more of the horizontal screen so you can properly see animations with a smaller preview window. \n\nIt would actually be useful to have a draggable separator so you can resize preview and thumbnails to fit more thumbnails into the view or less depending on screen size.	2026-02-01 22:43:58	
1214168752190346	Make responsive	Future Upgrades	Medium	Feature Request		Alexa		Animations needs to be responsive to container window by default\n\nNeed controls in html and other exports to control this behavior as well as ability to set canvas size	2026-04-21 11:24:41	
local-1777824000000-1008	Asset rebuild Stage H — Optional vector rendering for SVG assets	Future Upgrades	Low	Feature Request	Animation Variables	Unassigned	Asset-based shapes rebuild (active initiative)	Branch feat/asset-vector-mode-stage-h. Spec in 2adf49a. Per-layer opt-in to true vector rendering for close-up / hero SVG layers where the 4x raster softens.\n\nConfig: vectorAsset?: boolean on LayerConfig (default false). Applies only when the resolved asset is image/svg+xml; raster mimes ignore the flag.\n\nAssetCache: split the cache into two maps keyed on (assetId, mode) where mode in {texture, vector}. Add getGraphicsContextSync(assetId) that loads via Assets.load({ src, data: { parseAsGraphicsContext: true } }). invalidate(assetId) clears both modes. Keep getTextureSync unchanged so the default fast path is untouched.\n\nRenderer: in the asset_set / asset_single branch, if effectiveConfig.vectorAsset && folderAssetEntry.mimeType === 'image/svg+xml', request the GraphicsContext and build new Graphics(ctx) instead of new Sprite(texture). Size via graphics.getLocalBounds() to compute the same targetMax / maxBound scale we apply to sprites. Fall back silently to the sprite path if the ctx is still loading.\n\nInspector: toggle next to the asset picker (Stage D UI). Only render the toggle when the current asset's mime is image/svg+xml. Label 'Crisp at any scale (vector)'. Helper text: 'Slower with many instances.'\n\nPerf guardrail: soft-warn (small text under the toggle) when instances * symmetryMultiplier > 24. No hard block.\n\nMigration: none needed — new optional field, default false.\n\nOut of scope: per-instance mode switching, auto-promoting to vector at high zoom. Keep the flag static per layer.	2026-04-25 21:30:00	
1213409303569238	Explore adding states that trigger elements (study rive)	Future Upgrades	Low	Ideas	Animation Variables	Unassigned			2026-02-23 19:34:08	
1213422319914136	can I change number of vertices in timelien as variable	Future Upgrades	Low	Feature Request	Animation Variables	Unassigned			2026-02-24 11:15:01	
1213070073876354	Add direct shape manipulation	Future Upgrades	Low	Ideas	Canvas	Unassigned		Enhancement: Ability to move and resize shapes when clicking on the screen with the mouse, a bounding box appears with handles to resize and rotate.\n\nExpected Behavior: \n\n    Click on shapes to select them directly in the viewport\n    Show bounding box with resize handles\n    Include rotation handles for direct manipulation\n    Real-time visual feedback during transformations	2026-02-01 15:50:22	
1213070073876356	Explore mouse-driven animation	Future Upgrades	Low	Ideas	Canvas	Unassigned		Enhancement: Explore adding an option that moving mouse drags animation. This would mean different things for different elements, or ask AI to implement on a instance animation with delay effect.\n\nExpected Behavior: \n\n    Mouse movement controls animation playback\n    Different behaviors for different element types\n    Consider AI-assisted implementation for complex animations\n    Include delay effects for instance animations	2026-02-01 15:50:23	
1213070073876391	Rezible 0,0 Canvas	Future Upgrades	Low	Feature Request	Canvas	Unassigned		Explore adding option for defining canvas when starting a project\n\nCanvas should allow for zoom in and out\n\non canvas	2026-02-02 11:18:06	
5e459251-6d03-4de6-a06a-7fa1b51f4c9f	Retire legacy astro/amino script bundles + toggles	Future Upgrades	Low	Technical Debt	Exporters			astro-data.js / amino-data.js (and the astro/amino export toggles) only feed legacy layer.type === "astrology" | "amino" projects. v2 migrates those to asset_set on load (useStore.ts:1182-1196), so for any project opened in v2 with seed folders set up, these bundles are unused. Auto-detect already returns false for migrated projects, and the toggles now hide entirely when not detected (done 2026-05-05).\n\nWhen retiring: (a) run a one-time scan — select id from projects where data::text like '%"type":"astrology"%' or data::text like '%"type":"amino"%' — to find any unmigrated stragglers and force-open them in v2 to migrate; (b) delete src/astro-entry.ts, src/amino-entry.ts, vite.astro.config.ts, vite.amino.config.ts, App/public/astro-data.js, App/public/amino-data.js, the build:astro/build:amino scripts in package.json; (c) drop usesAstro/usesAmino/includeAstro/includeAmino state and the gated toggle JSX from ExportModal.tsx + BatchExportModal.tsx; (d) drop the astro/amino branches from loadPlayerBundles in src/utils/exportHelpers.ts and the bundle paths in batchExport.ts. Coordinate with v1 retirement — v1 may still emit legacy layer types.	2026-05-05 12:08:12	
1213070073876386	video thumbnails	Future Upgrades	Low	Enhancement	Front Page	Unassigned		Create a thumbnail view of the file browser\n\nUse this thumbnail view later as home page placholders\n\nbnails?\n\nlittle mmoves of animations! yes\n\nupdated file	2026-02-01 22:41:37	
1213142138288918	Add a golden ratio shape	Future Upgrades	Low	Ideas	General	Unassigned			2026-02-05 16:46:09	
1213891513519209	build a framer export	Future Upgrades	Low	Ideas	General	Alexa			2026-04-01 20:52:29	
64eb75fd-4760-4bf1-a978-842953a6a10a	switch ui to shadcn cleaner and more polished	Future Upgrades	Low	Ideas	General	Unassigned		Move whole UI from current custom Tailwind components to shadcn primitives for a more polished/consistent look. Multi-day refactor; needs scoping before kickoff: which screens first (Inspector vs Dashboard vs Auth), keep current dark theme or adopt shadcn defaults, whether to do a big-bang swap or incrementally per screen.	2026-04-25 21:40:15	
1213387118254105	Export is not visible on white background	Future Upgrades	Low	UX/UI	Timeline	Unassigned			2026-02-22 17:34:06	
1213070073876296	Improve play button visibility	Future Upgrades	Low	UX/UI	Timeline	Unassigned		Enhancement: Put circle around play triangle make icon more obvious.\n\nExpected Behavior: Play button should be more visually prominent and easier to identify in the interface.	2026-02-01 15:46:22	
1213070073876333	Add double-click rename functionality	Future Upgrades	Low			Unassigned		Feature Request: Double clicking on text in folder should trigger rename.\n\nExpected Behavior: \n\n    Double-clicking on any text/name in folder view should immediately enter rename mode\n    Should work consistently across all file/folder items\n    Provide clear visual feedback when in rename mode	2026-02-01 15:49:04	
c4b1f66f-c2ed-421a-b866-3efa525e2c4e	Allow me to sort projects manually or alphabetically (requires migration from V1)	Idea							2026-05-05 10:13:59	
b06a19c9-82cf-4d9d-8943-0dc73936acf9	need to be able to sort project in thumbnails	Idea							2026-05-06 09:10:46	
0acf818a-b7ba-4969-aedb-4b3c6bb728f0	allow for sorting alphabetically and manually	Idea							2026-05-06 09:11:03	
a6e04e97-6fb0-4342-b6f8-16b496de8d27	need thumbnails on html export for index page, use last frame or give option)	Idea							2026-05-06 09:11:17	
cee8b98f-2f5d-428d-bcce-9b444d451d32	Call assetCache.invalidate when an asset is replaced or deleted	New	Medium	Technical Debt	File System	Unassigned		invalidate()/clear() exist in AssetCache.ts but have zero call sites - stale cached SVG contexts/textures persist until a hard page reload	2026-07-28 21:10:20	
c6e9132f-97e0-42f3-9c0d-d9b78bc35c59	Group style override silently makes child fill/stroke/gradient toggles inert	New	Medium	UX/UI	Canvas	Unassigned		styleOverrideEnabled parent wins unconditionally in GeometryRenderer ambientStyles - Inspector shows OVERRIDDEN badge but controls still write values that never render; consider disabling controls	2026-07-28 21:10:20	
69f00875-bf24-4b18-a520-cb06cfc5fc17	Legacy migration mints duplicate keyframe ids kf-start/mid/end across layers	New	Medium	Technical Debt	General	Unassigned		normalizeProjectForV2 runs on every load; also repoints legacy layers at seed folders matched by NAME and silently no-ops if assetFolders have not loaded yet - same project can normalize differently per load	2026-07-28 21:10:20	
53ca5923-0590-4680-8299-27545bd49636	asset_set instances resolve by array index - reordering or uploading assets changes which shape each instance draws	New	Low	Technical Debt	File System	Unassigned		GeometryRenderer resolveAssetId uses i % folder.length; folder fetch after project load is fire-and-forget so first frames render count=1 then jump to N	2026-07-28 21:10:20	
local-1785902400000-2001	Apply v2-user-assets audio migration (v1 repo, supabase db push)	Completed	High	Technical Debt	File System	Unassigned		Migration file drafted at v1 repo App/supabase/migrations/20260804000000_v2_user_assets_audio.sql (raises bucket cap to 25MB, adds audio/mpeg to the allowlist). Commit + PR in the v1 repo, then run `supabase db push` from v1's App/ directory. Until it's applied, music uploads in v2 are rejected by the bucket's MIME allowlist. DONE 2026-08-04: applied via supabase db push; recorded in v1 repo PR #23 (fix/v2-audio-bucket-migration).	2026-08-04 12:00:00	2026-08-04 16:00:00
local-1785902400000-2002	Music track — cross-browser export testing	Need Testing	High	Feature Request	Exporters	Unassigned		New music-track feature needs real-browser verification: (1) video export webm has an opus audio track (check ffprobe/VLC) and loops restart the audio; (2) Safari mp4 (H.264+AAC) path; (3) HTML export opened via file:// shows the tap-to-start overlay and plays in sync; (4) React export `npm run dev` and batch variants; (5) RN WebView autoplay with mediaPlaybackRequiresUserAction=false.	2026-08-04 12:00:00	
local-1785902400000-2003	Editor unmute affordance when autoplay blocks music	Backlog	Low	UX/UI	Timeline	Unassigned		loadProject with view=player/dashboard sets isPlaying without a user gesture, so audioEngine.play() can be rejected by the browser's autoplay policy — visuals run silently (by design). Consider a small unmute/play-audio button when that rejection happens so users aren't confused about missing sound.	2026-08-04 12:00:00	
